f_S[GHz],real(Zin),imag(Zin)
-10.38,5.08E-03,7.6059889
-10.37,5.09E-03,7.6133422
-10.36,5.10E-03,7.6207098
-10.35,5.11E-03,7.6280916
-10.34,5.12E-03,7.6354878
-10.33,5.12E-03,7.6428983
-10.32,5.13E-03,7.6503233
-10.31,5.14E-03,7.6577627
-10.3,5.15E-03,7.6652166
-10.29,5.16E-03,7.6726851
-10.28,5.17E-03,7.6801681
-10.27,5.18E-03,7.6876658
-10.26,5.18E-03,7.6951781
-10.25,5.19E-03,7.7027052
-10.24,5.20E-03,7.710247
-10.23,5.21E-03,7.7178037
-10.22,5.22E-03,7.7253751
-10.21,5.23E-03,7.7329615
-10.2,5.24E-03,7.7405628
-10.19,5.25E-03,7.7481791
-10.18,5.25E-03,7.7558104
-10.17,5.26E-03,7.7634568
-10.16,5.27E-03,7.7711182
-10.15,5.28E-03,7.7787949
-10.14,5.29E-03,7.7864867
-10.13,5.30E-03,7.7941938
-10.12,5.31E-03,7.8019162
-10.11,5.32E-03,7.8096539
-10.1,5.33E-03,7.817407
-10.09,5.33E-03,7.8251755
-10.08,5.34E-03,7.8329595
-10.07,5.35E-03,7.8407591
-10.06,5.36E-03,7.8485742
-10.05,5.37E-03,7.8564049
-10.04,5.38E-03,7.8642513
-10.03,5.39E-03,7.8721134
-10.02,5.40E-03,7.8799912
-10.01,5.41E-03,7.8878849
-10,5.42E-03,7.8957944
-9.99,5.43E-03,7.9037198
-9.98,5.44E-03,7.9116611
-9.97,5.44E-03,7.9196185
-9.96,5.45E-03,7.9275919
-9.95,5.46E-03,7.9355814
-9.94,5.47E-03,7.943587
-9.93,5.48E-03,7.9516088
-9.92,5.49E-03,7.9596469
-9.91,5.50E-03,7.9677013
-9.9,5.51E-03,7.975772
-9.89,5.52E-03,7.9838591
-9.88,5.53E-03,7.9919626
-9.87,5.54E-03,8.0000826
-9.86,5.55E-03,8.0082192
-9.85,5.56E-03,8.0163723
-9.84,5.57E-03,8.0245421
-9.83,5.58E-03,8.0327286
-9.82,5.59E-03,8.0409318
-9.81,5.60E-03,8.0491519
-9.8,5.61E-03,8.0573887
-9.79,5.62E-03,8.0656425
-9.78,5.62E-03,8.0739133
-9.77,5.63E-03,8.082201
-9.76,5.64E-03,8.0905058
-9.75,5.65E-03,8.0988277
-9.74,5.66E-03,8.1071668
-9.73,5.67E-03,8.115523
-9.72,5.68E-03,8.1238966
-9.71,5.69E-03,8.1322875
-9.7,5.70E-03,8.1406957
-9.69,5.71E-03,8.1491214
-9.68,5.72E-03,8.1575646
-9.67,5.73E-03,8.1660253
-9.66,5.74E-03,8.1745036
-9.65,5.75E-03,8.1829995
-9.64,5.76E-03,8.1915132
-9.63,5.77E-03,8.2000446
-9.62,5.78E-03,8.2085939
-9.61,5.79E-03,8.217161
-9.6,5.80E-03,8.225746
-9.59,5.81E-03,8.2343491
-9.58,5.82E-03,8.2429701
-9.57,5.83E-03,8.2516093
-9.56,5.84E-03,8.2602666
-9.55,5.85E-03,8.2689422
-9.54,5.87E-03,8.277636
-9.53,5.88E-03,8.2863481
-9.52,5.89E-03,8.2950786
-9.51,5.90E-03,8.3038276
-9.5,5.91E-03,8.3125951
-9.49,5.92E-03,8.3213811
-9.48,5.93E-03,8.3301858
-9.47,5.94E-03,8.3390091
-9.46,5.95E-03,8.3478512
-9.45,5.96E-03,8.3567121
-9.44,5.97E-03,8.3655919
-9.43,5.98E-03,8.3744905
-9.42,5.99E-03,8.3834082
-9.41,6.00E-03,8.3923449
-9.4,6.01E-03,8.4013007
-9.39,6.02E-03,8.4102757
-9.38,6.03E-03,8.4192699
-9.37,6.04E-03,8.4282833
-9.36,6.06E-03,8.4373162
-9.35,6.07E-03,8.4463684
-9.34,6.08E-03,8.4554402
-9.33,6.09E-03,8.4645314
-9.32,6.10E-03,8.4736423
-9.31,6.11E-03,8.4827728
-9.3,6.12E-03,8.4919231
-9.29,6.13E-03,8.5010932
-9.28,6.14E-03,8.5102831
-9.27,6.15E-03,8.5194929
-9.26,6.16E-03,8.5287228
-9.25,6.18E-03,8.5379727
-9.24,6.19E-03,8.5472427
-9.23,6.20E-03,8.5565329
-9.22,6.21E-03,8.5658434
-9.21,6.22E-03,8.5751741
-9.2,6.23E-03,8.5845253
-9.19,6.24E-03,8.5938969
-9.18,6.25E-03,8.603289
-9.17,6.26E-03,8.6127017
-9.16,6.28E-03,8.6221351
-9.15,6.29E-03,8.6315892
-9.14,6.30E-03,8.6410641
-9.13,6.31E-03,8.6505598
-9.12,6.32E-03,8.6600765
-9.11,6.33E-03,8.6696142
-9.1,6.34E-03,8.6791729
-9.09,6.36E-03,8.6887528
-9.08,6.37E-03,8.6983539
-9.07,6.38E-03,8.7079763
-9.06,6.39E-03,8.71762
-9.05,6.40E-03,8.7272852
-9.04,6.41E-03,8.7369718
-9.03,6.43E-03,8.74668
-9.02,6.44E-03,8.7564099
-9.01,6.45E-03,8.7661614
-9,6.46E-03,8.7759348
-8.99,6.47E-03,8.78573
-8.98,6.49E-03,8.7955471
-8.97,6.50E-03,8.8053862
-8.96,6.51E-03,8.8152474
-8.95,6.52E-03,8.8251308
-8.94,6.53E-03,8.8350364
-8.93,6.54E-03,8.8449643
-8.92,6.56E-03,8.8549146
-8.91,6.57E-03,8.8648873
-8.9,6.58E-03,8.8748826
-8.89,6.59E-03,8.8849004
-8.88,6.61E-03,8.894941
-8.87,6.62E-03,8.9050043
-8.86,6.63E-03,8.9150904
-8.85,6.64E-03,8.9251995
-8.84,6.65E-03,8.9353316
-8.83,6.67E-03,8.9454867
-8.82,6.68E-03,8.955665
-8.81,6.69E-03,8.9658666
-8.8,6.70E-03,8.9760914
-8.79,6.72E-03,8.9863396
-8.78,6.73E-03,8.9966113
-8.77,6.74E-03,9.0069066
-8.76,6.75E-03,9.0172255
-8.75,6.77E-03,9.0275681
-8.74,6.78E-03,9.0379345
-8.73,6.79E-03,9.0483248
-8.72,6.80E-03,9.0587391
-8.71,6.82E-03,9.0691774
-8.7,6.83E-03,9.0796399
-8.69,6.84E-03,9.0901265
-8.68,6.86E-03,9.1006375
-8.67,6.87E-03,9.1111728
-8.66,6.88E-03,9.1217327
-8.65,6.89E-03,9.132317
-8.64,6.91E-03,9.142926
-8.63,6.92E-03,9.1535598
-8.62,6.93E-03,9.1642183
-8.61,6.95E-03,9.1749018
-8.6,6.96E-03,9.1856102
-8.59,6.97E-03,9.1963438
-8.58,6.98E-03,9.2071025
-8.57,7.00E-03,9.2178864
-8.56,7.01E-03,9.2286957
-8.55,7.02E-03,9.2395304
-8.54,7.04E-03,9.2503907
-8.53,7.05E-03,9.2612765
-8.52,7.06E-03,9.2721881
-8.51,7.08E-03,9.2831255
-8.5,7.09E-03,9.2940887
-8.49,7.10E-03,9.305078
-8.48,7.12E-03,9.3160933
-8.47,7.13E-03,9.3271348
-8.46,7.15E-03,9.3382025
-8.45,7.16E-03,9.3492966
-8.44,7.17E-03,9.3604171
-8.43,7.19E-03,9.3715642
-8.42,7.20E-03,9.3827379
-8.41,7.21E-03,9.3939384
-8.4,7.23E-03,9.4051657
-8.39,7.24E-03,9.4164199
-8.38,7.25E-03,9.4277011
-8.37,7.27E-03,9.4390095
-8.36,7.28E-03,9.4503451
-8.35,7.30E-03,9.461708
-8.34,7.31E-03,9.4730983
-8.33,7.32E-03,9.4845161
-8.32,7.34E-03,9.4959616
-8.31,7.35E-03,9.5074348
-8.3,7.37E-03,9.5189358
-8.29,7.38E-03,9.5304647
-8.28,7.40E-03,9.5420216
-8.27,7.41E-03,9.5536067
-8.26,7.42E-03,9.56522
-8.25,7.44E-03,9.5768617
-8.24,7.45E-03,9.5885317
-8.23,7.47E-03,9.6002304
-8.22,7.48E-03,9.6119576
-8.21,7.50E-03,9.6237136
-8.2,7.51E-03,9.6354985
-8.19,7.53E-03,9.6473123
-8.18,7.54E-03,9.6591553
-8.17,7.55E-03,9.6710274
-8.16,7.57E-03,9.6829287
-8.15,7.58E-03,9.6948595
-8.14,7.60E-03,9.7068198
-8.13,7.61E-03,9.7188097
-8.12,7.63E-03,9.7308294
-8.11,7.64E-03,9.7428788
-8.1,7.66E-03,9.7549583
-8.09,7.67E-03,9.7670677
-8.08,7.69E-03,9.7792074
-8.07,7.70E-03,9.7913773
-8.06,7.72E-03,9.8035777
-8.05,7.73E-03,9.8158086
-8.04,7.75E-03,9.8280701
-8.03,7.76E-03,9.8403623
-8.02,7.78E-03,9.8526854
-8.01,7.79E-03,9.8650395
-8,7.81E-03,9.8774247
-7.99,7.82E-03,9.8898411
-7.98,7.84E-03,9.9022888
-7.97,7.86E-03,9.914768
-7.96,7.87E-03,9.9272788
-7.95,7.89E-03,9.9398212
-7.94,7.90E-03,9.9523955
-7.93,7.92E-03,9.9650017
-7.92,7.93E-03,9.97764
-7.91,7.95E-03,9.9903104
-7.9,7.96E-03,10.003013
-7.89,7.98E-03,10.015748
-7.88,8.00E-03,10.028516
-7.87,8.01E-03,10.041316
-7.86,8.03E-03,10.05415
-7.85,8.04E-03,10.067016
-7.84,8.06E-03,10.079915
-7.83,8.08E-03,10.092847
-7.82,8.09E-03,10.105813
-7.81,8.11E-03,10.118812
-7.8,8.12E-03,10.131845
-7.79,8.14E-03,10.144911
-7.78,8.16E-03,10.158012
-7.77,8.17E-03,10.171146
-7.76,8.19E-03,10.184314
-7.75,8.21E-03,10.197517
-7.74,8.22E-03,10.210754
-7.73,8.24E-03,10.224025
-7.72,8.25E-03,10.237331
-7.71,8.27E-03,10.250672
-7.7,8.29E-03,10.264048
-7.69,8.30E-03,10.277459
-7.68,8.32E-03,10.290905
-7.67,8.34E-03,10.304386
-7.66,8.35E-03,10.317903
-7.65,8.37E-03,10.331455
-7.64,8.39E-03,10.345043
-7.63,8.41E-03,10.358667
-7.62,8.42E-03,10.372327
-7.61,8.44E-03,10.386023
-7.6,8.46E-03,10.399756
-7.59,8.47E-03,10.413525
-7.58,8.49E-03,10.427331
-7.57,8.51E-03,10.441173
-7.56,8.53E-03,10.455052
-7.55,8.54E-03,10.468969
-7.54,8.56E-03,10.482922
-7.53,8.58E-03,10.496913
-7.52,8.59E-03,10.510942
-7.51,8.61E-03,10.525008
-7.5,8.63E-03,10.539112
-7.49,8.65E-03,10.553254
-7.48,8.66E-03,10.567434
-7.47,8.68E-03,10.581652
-7.46,8.70E-03,10.595908
-7.45,8.72E-03,10.610204
-7.44,8.74E-03,10.624538
-7.43,8.75E-03,10.638911
-7.42,8.77E-03,10.653323
-7.41,8.79E-03,10.667774
-7.4,8.81E-03,10.682264
-7.39,8.83E-03,10.696794
-7.38,8.84E-03,10.711364
-7.37,8.86E-03,10.725974
-7.36,8.88E-03,10.740624
-7.35,8.90E-03,10.755313
-7.34,8.92E-03,10.770044
-7.33,8.93E-03,10.784815
-7.32,8.95E-03,10.799626
-7.31,8.97E-03,10.814478
-7.3,8.99E-03,10.829372
-7.29,9.01E-03,10.844306
-7.28,9.03E-03,10.859282
-7.27,9.05E-03,10.8743
-7.26,9.06E-03,10.889359
-7.25,9.08E-03,10.90446
-7.24,9.10E-03,10.919604
-7.23,9.12E-03,10.934789
-7.22,9.14E-03,10.950017
-7.21,9.16E-03,10.965288
-7.2,9.18E-03,10.980601
