f_S[GHz],real(Zin),imag(Zin)
-10.88,3.05E-02,47.16
-10.87,3.05E-02,47.21
-10.86,3.05E-02,47.25
-10.85,3.06E-02,47.29
-10.84,3.06E-02,47.34
-10.83,3.07E-02,47.38
-10.82,3.07E-02,47.42
-10.81,3.08E-02,47.47
-10.8,3.08E-02,47.51
-10.79,3.09E-02,47.56
-10.78,3.09E-02,47.6
-10.77,3.10E-02,47.64
-10.76,3.10E-02,47.69
-10.75,3.11E-02,47.73
-10.74,3.11E-02,47.78
-10.73,3.12E-02,47.82
-10.72,3.12E-02,47.87
-10.71,3.13E-02,47.91
-10.7,3.13E-02,47.96
-10.69,3.14E-02,48
-10.68,3.14E-02,48.05
-10.67,3.15E-02,48.09
-10.66,3.16E-02,48.14
-10.65,3.16E-02,48.18
-10.64,3.17E-02,48.23
-10.63,3.17E-02,48.27
-10.62,3.18E-02,48.32
-10.61,3.18E-02,48.36
-10.6,3.19E-02,48.41
-10.59,3.19E-02,48.46
-10.58,3.20E-02,48.5
-10.57,3.20E-02,48.55
-10.56,3.21E-02,48.59
-10.55,3.21E-02,48.64
-10.54,3.22E-02,48.69
-10.53,3.22E-02,48.73
-10.52,3.23E-02,48.78
-10.51,3.23E-02,48.83
-10.5,3.24E-02,48.87
-10.49,3.24E-02,48.92
-10.48,3.25E-02,48.97
-10.47,3.25E-02,49.01
-10.46,3.26E-02,49.06
-10.45,3.27E-02,49.11
-10.44,3.27E-02,49.15
-10.43,3.28E-02,49.2
-10.42,3.28E-02,49.25
-10.41,3.29E-02,49.3
-10.4,3.29E-02,49.34
-10.39,3.30E-02,49.39
-10.38,3.30E-02,49.44
-10.37,3.31E-02,49.49
-10.36,3.31E-02,49.53
-10.35,3.32E-02,49.58
-10.34,3.33E-02,49.63
-10.33,3.33E-02,49.68
-10.32,3.34E-02,49.73
-10.31,3.34E-02,49.78
-10.3,3.35E-02,49.82
-10.29,3.35E-02,49.87
-10.28,3.36E-02,49.92
-10.27,3.36E-02,49.97
-10.26,3.37E-02,50.02
-10.25,3.38E-02,50.07
-10.24,3.38E-02,50.12
-10.23,3.39E-02,50.17
-10.22,3.39E-02,50.21
-10.21,3.40E-02,50.26
-10.2,3.40E-02,50.31
-10.19,3.41E-02,50.36
-10.18,3.42E-02,50.41
-10.17,3.42E-02,50.46
-10.16,3.43E-02,50.51
-10.15,3.43E-02,50.56
-10.14,3.44E-02,50.61
-10.13,3.44E-02,50.66
-10.12,3.45E-02,50.71
-10.11,3.46E-02,50.76
-10.1,3.46E-02,50.81
-10.09,3.47E-02,50.86
-10.08,3.47E-02,50.91
-10.07,3.48E-02,50.96
-10.06,3.49E-02,51.02
-10.05,3.49E-02,51.07
-10.04,3.50E-02,51.12
-10.03,3.50E-02,51.17
-10.02,3.51E-02,51.22
-10.01,3.52E-02,51.27
-10,3.52E-02,51.32
-9.99,3.53E-02,51.37
-9.98,3.53E-02,51.43
-9.97,3.54E-02,51.48
-9.96,3.55E-02,51.53
-9.95,3.55E-02,51.58
-9.94,3.56E-02,51.63
-9.93,3.56E-02,51.69
-9.92,3.57E-02,51.74
-9.91,3.58E-02,51.79
-9.9,3.58E-02,51.84
-9.89,3.59E-02,51.9
-9.88,3.59E-02,51.95
-9.87,3.60E-02,52
-9.86,3.61E-02,52.05
-9.85,3.61E-02,52.11
-9.84,3.62E-02,52.16
-9.83,3.63E-02,52.21
-9.82,3.63E-02,52.27
-9.81,3.64E-02,52.32
-9.8,3.64E-02,52.37
-9.79,3.65E-02,52.43
-9.78,3.66E-02,52.48
-9.77,3.66E-02,52.53
-9.76,3.67E-02,52.59
-9.75,3.68E-02,52.64
-9.74,3.68E-02,52.7
-9.73,3.69E-02,52.75
-9.72,3.69E-02,52.81
-9.71,3.70E-02,52.86
-9.7,3.71E-02,52.91
-9.69,3.71E-02,52.97
-9.68,3.72E-02,53.02
-9.67,3.73E-02,53.08
-9.66,3.73E-02,53.13
-9.65,3.74E-02,53.19
-9.64,3.75E-02,53.24
-9.63,3.75E-02,53.3
-9.62,3.76E-02,53.36
-9.61,3.77E-02,53.41
-9.6,3.77E-02,53.47
-9.59,3.78E-02,53.52
-9.58,3.79E-02,53.58
-9.57,3.79E-02,53.64
-9.56,3.80E-02,53.69
-9.55,3.81E-02,53.75
-9.54,3.81E-02,53.8
-9.53,3.82E-02,53.86
-9.52,3.83E-02,53.92
-9.51,3.83E-02,53.97
-9.5,3.84E-02,54.03
-9.49,3.85E-02,54.09
-9.48,3.85E-02,54.15
-9.47,3.86E-02,54.2
-9.46,3.87E-02,54.26
-9.45,3.87E-02,54.32
-9.44,3.88E-02,54.38
-9.43,3.89E-02,54.43
-9.42,3.89E-02,54.49
-9.41,3.90E-02,54.55
-9.4,3.91E-02,54.61
-9.39,3.92E-02,54.67
-9.38,3.92E-02,54.73
-9.37,3.93E-02,54.78
-9.36,3.94E-02,54.84
-9.35,3.94E-02,54.9
-9.34,3.95E-02,54.96
-9.33,3.96E-02,55.02
-9.32,3.96E-02,55.08
-9.31,3.97E-02,55.14
-9.3,3.98E-02,55.2
-9.29,3.99E-02,55.26
-9.28,3.99E-02,55.32
-9.27,4.00E-02,55.38
-9.26,4.01E-02,55.44
-9.25,4.01E-02,55.5
-9.24,4.02E-02,55.56
-9.23,4.03E-02,55.62
-9.22,4.04E-02,55.68
-9.21,4.04E-02,55.74
-9.2,4.05E-02,55.8
-9.19,4.06E-02,55.86
-9.18,4.07E-02,55.92
-9.17,4.07E-02,55.98
-9.16,4.08E-02,56.04
-9.15,4.09E-02,56.11
-9.14,4.09E-02,56.17
-9.13,4.10E-02,56.23
-9.12,4.11E-02,56.29
-9.11,4.12E-02,56.35
-9.1,4.12E-02,56.41
-9.09,4.13E-02,56.48
-9.08,4.14E-02,56.54
-9.07,4.15E-02,56.6
-9.06,4.15E-02,56.66
-9.05,4.16E-02,56.73
-9.04,4.17E-02,56.79
-9.03,4.18E-02,56.85
-9.02,4.19E-02,56.92
-9.01,4.19E-02,56.98
-9,4.20E-02,57.04
-8.99,4.21E-02,57.11
-8.98,4.22E-02,57.17
-8.97,4.22E-02,57.24
-8.96,4.23E-02,57.3
-8.95,4.24E-02,57.36
-8.94,4.25E-02,57.43
-8.93,4.25E-02,57.49
-8.92,4.26E-02,57.56
-8.91,4.27E-02,57.62
-8.9,4.28E-02,57.69
-8.89,4.29E-02,57.75
-8.88,4.29E-02,57.82
-8.87,4.30E-02,57.88
-8.86,4.31E-02,57.95
-8.85,4.32E-02,58.01
-8.84,4.33E-02,58.08
-8.83,4.33E-02,58.15
-8.82,4.34E-02,58.21
-8.81,4.35E-02,58.28
-8.8,4.36E-02,58.34
-8.79,4.37E-02,58.41
-8.78,4.37E-02,58.48
-8.77,4.38E-02,58.54
-8.76,4.39E-02,58.61
-8.75,4.40E-02,58.68
-8.74,4.41E-02,58.75
-8.73,4.41E-02,58.81
-8.72,4.42E-02,58.88
-8.71,4.43E-02,58.95
-8.7,4.44E-02,59.02
-8.69,4.45E-02,59.09
-8.68,4.46E-02,59.15
-8.67,4.46E-02,59.22
-8.66,4.47E-02,59.29
-8.65,4.48E-02,59.36
-8.64,4.49E-02,59.43
-8.63,4.50E-02,59.5
-8.62,4.51E-02,59.57
-8.61,4.52E-02,59.64
-8.6,4.52E-02,59.71
-8.59,4.53E-02,59.78
-8.58,4.54E-02,59.85
-8.57,4.55E-02,59.92
-8.56,4.56E-02,59.99
-8.55,4.57E-02,60.06
-8.54,4.58E-02,60.13
-8.53,4.58E-02,60.2
-8.52,4.59E-02,60.27
-8.51,4.60E-02,60.34
-8.5,4.61E-02,60.41
-8.49,4.62E-02,60.48
-8.48,4.63E-02,60.55
-8.47,4.64E-02,60.63
-8.46,4.64E-02,60.7
-8.45,4.65E-02,60.77
-8.44,4.66E-02,60.84
-8.43,4.67E-02,60.92
-8.42,4.68E-02,60.99
-8.41,4.69E-02,61.06
-8.4,4.70E-02,61.13
-8.39,4.71E-02,61.21
-8.38,4.72E-02,61.28
-8.37,4.73E-02,61.35
-8.36,4.73E-02,61.43
-8.35,4.74E-02,61.5
-8.34,4.75E-02,61.58
-8.33,4.76E-02,61.65
-8.32,4.77E-02,61.72
-8.31,4.78E-02,61.8
-8.3,4.79E-02,61.87
-8.29,4.80E-02,61.95
-8.28,4.81E-02,62.02
-8.27,4.82E-02,62.1
-8.26,4.83E-02,62.17
-8.25,4.84E-02,62.25
-8.24,4.84E-02,62.33
-8.23,4.85E-02,62.4
-8.22,4.86E-02,62.48
-8.21,4.87E-02,62.55
-8.2,4.88E-02,62.63
-8.19,4.89E-02,62.71
-8.18,4.90E-02,62.78
-8.17,4.91E-02,62.86
-8.16,4.92E-02,62.94
-8.15,4.93E-02,63.02
-8.14,4.94E-02,63.09
-8.13,4.95E-02,63.17
-8.12,4.96E-02,63.25
-8.11,4.97E-02,63.33
-8.1,4.98E-02,63.41
-8.09,4.99E-02,63.49
-8.08,5.00E-02,63.56
-8.07,5.01E-02,63.64
-8.06,5.02E-02,63.72
-8.05,5.03E-02,63.8
-8.04,5.04E-02,63.88
-8.03,5.05E-02,63.96
-8.02,5.06E-02,64.04
-8.01,5.07E-02,64.12
-8,5.08E-02,64.2
-7.99,5.09E-02,64.28
-7.98,5.10E-02,64.36
-7.97,5.11E-02,64.45
-7.96,5.12E-02,64.53
-7.95,5.13E-02,64.61
-7.94,5.14E-02,64.69
-7.93,5.15E-02,64.77
-7.92,5.16E-02,64.85
-7.91,5.17E-02,64.94
-7.9,5.18E-02,65.02
-7.89,5.19E-02,65.1
-7.88,5.20E-02,65.19
-7.87,5.21E-02,65.27
-7.86,5.22E-02,65.35
-7.85,5.23E-02,65.44
-7.84,5.24E-02,65.52
-7.83,5.25E-02,65.6
-7.82,5.26E-02,65.69
-7.81,5.27E-02,65.77
-7.8,5.28E-02,65.86
-7.79,5.29E-02,65.94
-7.78,5.30E-02,66.03
-7.77,5.31E-02,66.11
-7.76,5.32E-02,66.2
-7.75,5.33E-02,66.28
-7.74,5.34E-02,66.37
-7.73,5.36E-02,66.46
-7.72,5.37E-02,66.54
-7.71,5.38E-02,66.63
-7.7,5.39E-02,66.72
-7.69,5.40E-02,66.8
-7.68,5.41E-02,66.89
-7.67,5.42E-02,66.98
-7.66,5.43E-02,67.07
-7.65,5.44E-02,67.15
-7.64,5.45E-02,67.24
-7.63,5.46E-02,67.33
-7.62,5.47E-02,67.42
-7.61,5.49E-02,67.51
-7.6,5.50E-02,67.6
-7.59,5.51E-02,67.69
-7.58,5.52E-02,67.78
-7.57,5.53E-02,67.87
-7.56,5.54E-02,67.96
-7.55,5.55E-02,68.05
-7.54,5.56E-02,68.14
-7.53,5.58E-02,68.23
-7.52,5.59E-02,68.32
-7.51,5.60E-02,68.41
-7.5,5.61E-02,68.5
-7.49,5.62E-02,68.6
-7.48,5.63E-02,68.69
-7.47,5.64E-02,68.78
-7.46,5.66E-02,68.87
-7.45,5.67E-02,68.97
-7.44,5.68E-02,69.06
-7.43,5.69E-02,69.15
-7.42,5.70E-02,69.25
-7.41,5.71E-02,69.34
-7.4,5.73E-02,69.43
-7.39,5.74E-02,69.53
-7.38,5.75E-02,69.62
-7.37,5.76E-02,69.72
-7.36,5.77E-02,69.81
-7.35,5.78E-02,69.91
-7.34,5.80E-02,70.01
-7.33,5.81E-02,70.1
-7.32,5.82E-02,70.2
-7.31,5.83E-02,70.29
-7.3,5.84E-02,70.39
-7.29,5.86E-02,70.49
-7.28,5.87E-02,70.59
-7.27,5.88E-02,70.68
-7.26,5.89E-02,70.78
-7.25,5.90E-02,70.88
-7.24,5.92E-02,70.98
-7.23,5.93E-02,71.08
-7.22,5.94E-02,71.18
-7.21,5.95E-02,71.27
-7.2,5.97E-02,71.37
-7.19,5.98E-02,71.47
-7.18,5.99E-02,71.57
-7.17,6.00E-02,71.67
-7.16,6.02E-02,71.77
-7.15,6.03E-02,71.88
-7.14,6.04E-02,71.98
-7.13,6.05E-02,72.08
-7.12,6.07E-02,72.18
-7.11,6.08E-02,72.28
-7.1,6.09E-02,72.38
-7.09,6.10E-02,72.49
