f_S[GHz],real(Zin),imag(Zin),,,
-10.24,5.20E-03,7.706,,,
-10.23,5.21E-03,7.714,,,
-10.22,5.22E-03,7.722,,,
-10.21,5.22E-03,7.729,,,
-10.2,5.23E-03,7.737,,,
-10.19,5.24E-03,7.744,,,
-10.18,5.25E-03,7.752,,,
-10.17,5.26E-03,7.76,,,
-10.16,5.27E-03,7.767,,,
-10.15,5.28E-03,7.775,,,
-10.14,5.29E-03,7.783,,,
-10.13,5.29E-03,7.79,,,
-10.12,5.30E-03,7.798,,,
-10.11,5.31E-03,7.806,,,
-10.1,5.32E-03,7.814,,,
-10.09,5.33E-03,7.821,,,
-10.08,5.34E-03,7.829,,,
-10.07,5.35E-03,7.837,,,
-10.06,5.36E-03,7.845,,,
-10.05,5.37E-03,7.852,,,
-10.04,5.38E-03,7.86,,,
-10.03,5.38E-03,7.868,,,
-10.02,5.39E-03,7.876,,,
-10.01,5.40E-03,7.884,,,
-10,5.41E-03,7.892,,,
-9.99,5.42E-03,7.9,,,
-9.98,5.43E-03,7.908,,,
-9.97,5.44E-03,7.916,,,
-9.96,5.45E-03,7.924,,,
-9.95,5.46E-03,7.932,,,
-9.94,5.47E-03,7.94,,,
-9.93,5.48E-03,7.948,,,
-9.92,5.49E-03,7.956,,,
-9.91,5.50E-03,7.964,,,
-9.9,5.51E-03,7.972,,,
-9.89,5.52E-03,7.98,,,
-9.88,5.52E-03,7.988,,,
-9.87,5.53E-03,7.996,,,
-9.86,5.54E-03,8.004,,,
-9.85,5.55E-03,8.012,,,
-9.84,5.56E-03,8.02,,,
-9.83,5.57E-03,8.029,,,
-9.82,5.58E-03,8.037,,,
-9.81,5.59E-03,8.045,,,
-9.8,5.60E-03,8.053,,,
-9.79,5.61E-03,8.062,,,
-9.78,5.62E-03,8.07,,,
-9.77,5.63E-03,8.078,,,
-9.76,5.64E-03,8.086,,,
-9.75,5.65E-03,8.095,,,
-9.74,5.66E-03,8.103,,,
-9.73,5.67E-03,8.111,,,
-9.72,5.68E-03,8.12,,,
-9.71,5.69E-03,8.128,,,
-9.7,5.70E-03,8.136,,,
-9.69,5.71E-03,8.145,,,
-9.68,5.72E-03,8.153,,,
-9.67,5.73E-03,8.162,,,
-9.66,5.74E-03,8.17,,,
-9.65,5.75E-03,8.179,,,
-9.64,5.76E-03,8.187,,,
-9.63,5.77E-03,8.196,,,
-9.62,5.78E-03,8.204,,,
-9.61,5.79E-03,8.213,,,
-9.6,5.80E-03,8.221,,,
-9.59,5.81E-03,8.23,,,
-9.58,5.82E-03,8.239,,,
-9.57,5.83E-03,8.247,,,
-9.56,5.84E-03,8.256,,,
-9.55,5.85E-03,8.265,,,
-9.54,5.86E-03,8.273,,,
-9.53,5.87E-03,8.282,,,
-9.52,5.88E-03,8.291,,,
-9.51,5.89E-03,8.299,,,
-9.5,5.90E-03,8.308,,,
-9.49,5.91E-03,8.317,,,
-9.48,5.92E-03,8.326,,,
-9.47,5.93E-03,8.335,,,
-9.46,5.94E-03,8.343,,,
-9.45,5.95E-03,8.352,,,
-9.44,5.96E-03,8.361,,,
-9.43,5.98E-03,8.37,,,
-9.42,5.99E-03,8.379,,,
-9.41,6.00E-03,8.388,,,
-9.4,6.01E-03,8.397,,,
-9.39,6.02E-03,8.406,,,
-9.38,6.03E-03,8.415,,,
-9.37,6.04E-03,8.424,,,
-9.36,6.05E-03,8.433,,,
-9.35,6.06E-03,8.442,,,
-9.34,6.07E-03,8.451,,,
-9.33,6.08E-03,8.46,,,
-9.32,6.09E-03,8.469,,,
