f_S[GHz],real(Zin),imag(Zin)
-6.53,3.61,81.96
-6.52,3.617,82.08
-6.51,3.625,82.2
-6.5,3.633,82.32
-6.49,3.641,82.45
-6.48,3.649,82.57
-6.47,3.656,82.69
-6.46,3.664,82.82
-6.45,3.672,82.94
-6.44,3.68,83.06
-6.43,3.688,83.19
-6.42,3.696,83.31
-6.41,3.704,83.44
-6.4,3.712,83.56
-6.39,3.72,83.69
-6.38,3.728,83.82
-6.37,3.736,83.94
-6.36,3.744,84.07
-6.35,3.752,84.2
-6.34,3.76,84.33
-6.33,3.768,84.46
-6.32,3.776,84.59
-6.31,3.785,84.72
-6.3,3.793,84.84
-6.29,3.801,84.98
-6.28,3.809,85.11
-6.27,3.818,85.24
-6.26,3.826,85.37
-6.25,3.834,85.5
-6.24,3.843,85.63
-6.23,3.851,85.76
-6.22,3.859,85.9
-6.21,3.868,86.03
-6.2,3.876,86.17
-6.19,3.885,86.3
-6.18,3.893,86.43
-6.17,3.902,86.57
-6.16,3.91,86.71
-6.15,3.919,86.84
-6.14,3.927,86.98
-6.13,3.936,87.11
-6.12,3.944,87.25
-6.11,3.953,87.39
-6.1,3.962,87.53
-6.09,3.97,87.67
-6.08,3.979,87.81
-6.07,3.988,87.95
-6.06,3.997,88.09
-6.05,4.005,88.23
-6.04,4.014,88.37
-6.03,4.023,88.51
-6.02,4.032,88.65
-6.01,4.041,88.79
-6,4.05,88.94
-5.99,4.059,89.08
-5.98,4.068,89.22
-5.97,4.077,89.37
-5.96,4.086,89.51
-5.95,4.095,89.66
-5.94,4.104,89.8
-5.93,4.113,89.95
-5.92,4.122,90.09
-5.91,4.131,90.24
-5.9,4.14,90.39
-5.89,4.149,90.54
-5.88,4.159,90.69
-5.87,4.168,90.83
-5.86,4.177,90.98
-5.85,4.186,91.13
-5.84,4.196,91.28
-5.83,4.205,91.44
-5.82,4.214,91.59
-5.81,4.224,91.74
-5.8,4.233,91.89
-5.79,4.243,92.04
-5.78,4.252,92.2
-5.77,4.262,92.35
-5.76,4.271,92.51
-5.75,4.281,92.66
-5.74,4.29,92.82
-5.73,4.3,92.97
-5.72,4.309,93.13
-5.71,4.319,93.29
-5.7,4.329,93.45
-5.69,4.338,93.6
-5.68,4.348,93.76
-5.67,4.358,93.92
-5.66,4.368,94.08
-5.65,4.377,94.24
-5.64,4.387,94.4
-5.63,4.397,94.57
-5.62,4.407,94.73
-5.61,4.417,94.89
-5.6,4.427,95.05
-5.59,4.437,95.22
-5.58,4.447,95.38
-5.57,4.457,95.55
-5.56,4.467,95.71
-5.55,4.477,95.88
-5.54,4.487,96.05
-5.53,4.497,96.21
-5.52,4.507,96.38
-5.51,4.518,96.55
-5.5,4.528,96.72
-5.49,4.538,96.89
-5.48,4.548,97.06
-5.47,4.559,97.23
-5.46,4.569,97.4
-5.45,4.579,97.57
-5.44,4.59,97.75
-5.43,4.6,97.92
-5.42,4.61,98.1
-5.41,4.621,98.27
-5.4,4.631,98.45
-5.39,4.642,98.62
-5.38,4.652,98.8
-5.37,4.663,98.98
-5.36,4.674,99.15
-5.35,4.684,99.33
-5.34,4.695,99.51
-5.33,4.706,99.69
-5.32,4.716,99.87
-5.31,4.727,100.1
-5.3,4.738,100.2
-5.29,4.749,100.4
-5.28,4.759,100.6
-5.27,4.77,100.8
-5.26,4.781,101
-5.25,4.792,101.2
-5.24,4.803,101.3
-5.23,4.814,101.5
-5.22,4.825,101.7
-5.21,4.836,101.9
-5.2,4.847,102.1
-5.19,4.858,102.3
-5.18,4.869,102.5
-5.17,4.881,102.7
-5.16,4.892,102.9
-5.15,4.903,103.1
-5.14,4.914,103.2
-5.13,4.925,103.4
-5.12,4.937,103.6
-5.11,4.948,103.8
-5.1,4.959,104
-5.09,4.971,104.2
-5.08,4.982,104.4
-5.07,4.994,104.6
-5.06,5.005,104.8
-5.05,5.017,105
-5.04,5.028,105.2
-5.03,5.04,105.4
-5.02,5.051,105.6
-5.01,5.063,105.8
-5,5.075,106
-4.99,5.086,106.2
-4.98,5.098,106.4
-4.97,5.11,106.6
-4.96,5.122,106.9
-4.95,5.133,107.1
-4.94,5.145,107.3
-4.93,5.157,107.5
-4.92,5.169,107.7
-4.91,5.181,107.9
-4.9,5.193,108.1
-4.89,5.205,108.3
-4.88,5.217,108.5
-4.87,5.229,108.8
-4.86,5.241,109
-4.85,5.253,109.2
-4.84,5.265,109.4
-4.83,5.278,109.6
-4.82,5.29,109.8
-4.81,5.302,110.1
-4.8,5.314,110.3
-4.79,5.327,110.5
-4.78,5.339,110.7
-4.77,5.351,111
-4.76,5.364,111.2
-4.75,5.376,111.4
-4.74,5.389,111.6
-4.73,5.401,111.9
-4.72,5.414,112.1
-4.71,5.426,112.3
-4.7,5.439,112.6
-4.69,5.452,112.8
-4.68,5.464,113
-4.67,5.477,113.3
-4.66,5.49,113.5
-4.65,5.502,113.7
-4.64,5.515,114
-4.63,5.528,114.2
-4.62,5.541,114.4
-4.61,5.554,114.7
-4.6,5.567,114.9
-4.59,5.58,115.2
-4.58,5.593,115.4
-4.57,5.606,115.6
-4.56,5.619,115.9
-4.55,5.632,116.1
-4.54,5.645,116.4
-4.53,5.658,116.6
-4.52,5.671,116.9
-4.51,5.684,117.1
-4.5,5.697,117.4
-4.49,5.711,117.6
-4.48,5.724,117.9
-4.47,5.737,118.2
-4.46,5.751,118.4
-4.45,5.764,118.7
