f_S[GHz],real(Zin),imag(Zin),,,,,
-11.79,2.64E-02,43.5,,,,,
-11.78,2.65E-02,43.53,,,,,
-11.77,2.65E-02,43.57,,,,,
-11.76,2.65E-02,43.61,,,,,
-11.75,2.66E-02,43.64,,,,,
-11.74,2.66E-02,43.68,,,,,
-11.73,2.67E-02,43.72,,,,,
-11.72,2.67E-02,43.76,,,,,
-11.71,2.67E-02,43.79,,,,,
-11.7,2.68E-02,43.83,,,,,
-11.69,2.68E-02,43.87,,,,,
-11.68,2.69E-02,43.91,,,,,
-11.67,2.69E-02,43.94,,,,,
-11.66,2.69E-02,43.98,,,,,
-11.65,2.70E-02,44.02,,,,,
-11.64,2.70E-02,44.06,,,,,
-11.63,2.71E-02,44.09,,,,,
-11.62,2.71E-02,44.13,,,,,
-11.61,2.71E-02,44.17,,,,,
-11.6,2.72E-02,44.21,,,,,
-11.59,2.72E-02,44.25,,,,,
-11.58,2.73E-02,44.29,,,,,
-11.57,2.73E-02,44.32,,,,,
-11.56,2.74E-02,44.36,,,,,
-11.55,2.74E-02,44.4,,,,,
-11.54,2.74E-02,44.44,,,,,
-11.53,2.75E-02,44.48,,,,,
-11.52,2.75E-02,44.52,,,,,
-11.51,2.76E-02,44.56,,,,,
-11.5,2.76E-02,44.59,,,,,
-11.49,2.77E-02,44.63,,,,,
-11.48,2.77E-02,44.67,,,,,
-11.47,2.77E-02,44.71,,,,,
-11.46,2.78E-02,44.75,,,,,
-11.45,2.78E-02,44.79,,,,,
-11.44,2.79E-02,44.83,,,,,
-11.43,2.79E-02,44.87,,,,,
-11.42,2.80E-02,44.91,,,,,
-11.41,2.80E-02,44.95,,,,,
-11.4,2.80E-02,44.99,,,,,
-11.39,2.81E-02,45.03,,,,,
-11.38,2.81E-02,45.07,,,,,
-11.37,2.82E-02,45.1,,,,,
-11.36,2.82E-02,45.14,,,,,
-11.35,2.83E-02,45.18,,,,,
-11.34,2.83E-02,45.22,,,,,
-11.33,2.83E-02,45.26,,,,,
-11.32,2.84E-02,45.3,,,,,
-11.31,2.84E-02,45.34,,,,,
-11.3,2.85E-02,45.38,,,,,
-11.29,2.85E-02,45.42,,,,,
-11.28,2.86E-02,45.47,,,,,
-11.27,2.86E-02,45.51,,,,,
-11.26,2.87E-02,45.55,,,,,
-11.25,2.87E-02,45.59,,,,,
-11.24,2.87E-02,45.63,,,,,
-11.23,2.88E-02,45.67,,,,,
-11.22,2.88E-02,45.71,,,,,
-11.21,2.89E-02,45.75,,,,,
-11.2,2.89E-02,45.79,,,,,
-11.19,2.90E-02,45.83,,,,,
-11.18,2.90E-02,45.87,,,,,
-11.17,2.91E-02,45.91,,,,,
-11.16,2.91E-02,45.95,,,,,
-11.15,2.92E-02,46,,,,,
-11.14,2.92E-02,46.04,,,,,
-11.13,2.92E-02,46.08,,,,,
-11.12,2.93E-02,46.12,,,,,
-11.11,2.93E-02,46.16,,,,,
-11.1,2.94E-02,46.2,,,,,
-11.09,2.94E-02,46.25,,,,,
-11.08,2.95E-02,46.29,,,,,
-11.07,2.95E-02,46.33,,,,,
-11.06,2.96E-02,46.37,,,,,
-11.05,2.96E-02,46.41,,,,,
-11.04,2.97E-02,46.46,,,,,
-11.03,2.97E-02,46.5,,,,,
-11.02,2.98E-02,46.54,,,,,
-11.01,2.98E-02,46.58,,,,,
-11,2.99E-02,46.62,,,,,
-10.99,2.99E-02,46.67,,,,,
-10.98,2.99E-02,46.71,,,,,
-10.97,3.00E-02,46.75,,,,,
-10.96,3.00E-02,46.8,,,,,
-10.95,3.01E-02,46.84,,,,,
-10.94,3.01E-02,46.88,,,,,
-10.93,3.02E-02,46.92,,,,,
-10.92,3.02E-02,46.97,,,,,
-10.91,3.03E-02,47.01,,,,,
-10.9,3.03E-02,47.05,,,,,
-10.89,3.04E-02,47.1,,,,,
-10.88,3.04E-02,47.14,,,,,
-10.87,3.05E-02,47.18,,,,,
-10.86,3.05E-02,47.23,,,,,
-10.85,3.06E-02,47.27,,,,,
-10.84,3.06E-02,47.31,,,,,
-10.83,3.07E-02,47.36,,,,,
-10.82,3.07E-02,47.4,,,,,
-10.81,3.08E-02,47.45,,,,,
-10.8,3.08E-02,47.49,,,,,
-10.79,3.09E-02,47.53,,,,,
-10.78,3.09E-02,47.58,,,,,
-10.77,3.10E-02,47.62,,,,,
-10.76,3.10E-02,47.67,,,,,
-10.75,3.11E-02,47.71,,,,,
-10.74,3.11E-02,47.76,,,,,
-10.73,3.12E-02,47.8,,,,,
-10.72,3.12E-02,47.84,,,,,
-10.71,3.13E-02,47.89,,,,,
-10.7,3.13E-02,47.93,,,,,
-10.69,3.14E-02,47.98,,,,,
-10.68,3.14E-02,48.02,,,,,
-10.67,3.15E-02,48.07,,,,,
-10.66,3.15E-02,48.11,,,,,
-10.65,3.16E-02,48.16,,,,,
-10.64,3.16E-02,48.21,,,,,
-10.63,3.17E-02,48.25,,,,,
-10.62,3.17E-02,48.3,,,,,
-10.61,3.18E-02,48.34,,,,,
-10.6,3.18E-02,48.39,,,,,
-10.59,3.19E-02,48.43,,,,,
-10.58,3.19E-02,48.48,,,,,
-10.57,3.20E-02,48.53,,,,,
-10.56,3.20E-02,48.57,,,,,
-10.55,3.21E-02,48.62,,,,,
-10.54,3.21E-02,48.66,,,,,
-10.53,3.22E-02,48.71,,,,,
-10.52,3.23E-02,48.76,,,,,
-10.51,3.23E-02,48.8,,,,,
-10.5,3.24E-02,48.85,,,,,
-10.49,3.24E-02,48.9,,,,,
-10.48,3.25E-02,48.94,,,,,
-10.47,3.25E-02,48.99,,,,,
-10.46,3.26E-02,49.04,,,,,
-10.45,3.26E-02,49.08,,,,,
-10.44,3.27E-02,49.13,,,,,
-10.43,3.27E-02,49.18,,,,,
-10.42,3.28E-02,49.22,,,,,
-10.41,3.28E-02,49.27,,,,,
-10.4,3.29E-02,49.32,,,,,
-10.39,3.30E-02,49.37,,,,,
-10.38,3.30E-02,49.42,,,,,
-10.37,3.31E-02,49.46,,,,,
-10.36,3.31E-02,49.51,,,,,
-10.35,3.32E-02,49.56,,,,,
-10.34,3.32E-02,49.61,,,,,
-10.33,3.33E-02,49.65,,,,,
-10.32,3.33E-02,49.7,,,,,
-10.31,3.34E-02,49.75,,,,,
-10.3,3.35E-02,49.8,,,,,
-10.29,3.35E-02,49.85,,,,,
-10.28,3.36E-02,49.9,,,,,
-10.27,3.36E-02,49.95,,,,,
-10.26,3.37E-02,49.99,,,,,
-10.25,3.37E-02,50.04,,,,,
-10.24,3.38E-02,50.09,,,,,
-10.23,3.38E-02,50.14,,,,,
-10.22,3.39E-02,50.19,,,,,
-10.21,3.40E-02,50.24,,,,,
-10.2,3.40E-02,50.29,,,,,
-10.19,3.41E-02,50.34,,,,,
-10.18,3.41E-02,50.39,,,,,
-10.17,3.42E-02,50.44,,,,,
-10.16,3.42E-02,50.49,,,,,
-10.15,3.43E-02,50.54,,,,,
-10.14,3.44E-02,50.59,,,,,
-10.13,3.44E-02,50.64,,,,,
-10.12,3.45E-02,50.69,,,,,
-10.11,3.45E-02,50.74,,,,,
