f_S[GHz],real(Zin),imag(Zin),,,,,
4.89,9.98E-02,-105.3,,,,,
4.9,9.95E-02,-105.1,,,,,
4.91,9.93E-02,-104.9,,,,,
4.92,9.90E-02,-104.7,,,,,
4.93,9.88E-02,-104.5,,,,,
4.94,9.86E-02,-104.3,,,,,
4.95,9.84E-02,-104.1,,,,,
4.96,9.81E-02,-103.8,,,,,
4.97,9.79E-02,-103.6,,,,,
4.98,9.77E-02,-103.4,,,,,
4.99,9.74E-02,-103.2,,,,,
5,9.72E-02,-103,,,,,
5.01,9.70E-02,-102.8,,,,,
5.02,9.67E-02,-102.6,,,,,
5.03,9.65E-02,-102.4,,,,,
5.04,9.63E-02,-102.2,,,,,
5.05,9.61E-02,-102,,,,,
5.06,9.58E-02,-101.8,,,,,
5.07,9.56E-02,-101.6,,,,,
5.08,9.54E-02,-101.4,,,,,
5.09,9.52E-02,-101.2,,,,,
5.1,9.49E-02,-101,,,,,
5.11,9.47E-02,-100.8,,,,,
5.12,9.45E-02,-100.6,,,,,
5.13,9.43E-02,-100.4,,,,,
5.14,9.41E-02,-100.2,,,,,
5.15,9.38E-02,-99.96,,,,,
5.16,9.36E-02,-99.77,,,,,
5.17,9.34E-02,-99.57,,,,,
5.18,9.32E-02,-99.38,,,,,
5.19,9.30E-02,-99.19,,,,,
5.2,9.28E-02,-98.99,,,,,
5.21,9.25E-02,-98.8,,,,,
5.22,9.23E-02,-98.61,,,,,
5.23,9.21E-02,-98.42,,,,,
5.24,9.19E-02,-98.23,,,,,
5.25,9.17E-02,-98.04,,,,,
5.26,9.15E-02,-97.85,,,,,
5.27,9.13E-02,-97.66,,,,,
5.28,9.10E-02,-97.48,,,,,
5.29,9.08E-02,-97.29,,,,,
5.3,9.06E-02,-97.11,,,,,
5.31,9.04E-02,-96.92,,,,,
5.32,9.02E-02,-96.74,,,,,
5.33,9.00E-02,-96.55,,,,,
5.34,8.98E-02,-96.37,,,,,
5.35,8.96E-02,-96.19,,,,,
5.36,8.94E-02,-96.01,,,,,
5.37,8.92E-02,-95.83,,,,,
5.38,8.90E-02,-95.65,,,,,
5.39,8.87E-02,-95.47,,,,,
5.4,8.85E-02,-95.29,,,,,
5.41,8.83E-02,-95.11,,,,,
5.42,8.81E-02,-94.93,,,,,
5.43,8.79E-02,-94.76,,,,,
5.44,8.77E-02,-94.58,,,,,
5.45,8.75E-02,-94.41,,,,,
5.46,8.73E-02,-94.23,,,,,
5.47,8.71E-02,-94.06,,,,,
5.48,8.69E-02,-93.89,,,,,
5.49,8.67E-02,-93.71,,,,,
5.5,8.65E-02,-93.54,,,,,
5.51,8.63E-02,-93.37,,,,,
5.52,8.61E-02,-93.2,,,,,
5.53,8.59E-02,-93.03,,,,,
5.54,8.57E-02,-92.86,,,,,
5.55,8.55E-02,-92.69,,,,,
5.56,8.53E-02,-92.52,,,,,
5.57,8.51E-02,-92.35,,,,,
5.58,8.49E-02,-92.19,,,,,
5.59,8.48E-02,-92.02,,,,,
5.6,8.46E-02,-91.86,,,,,
5.61,8.44E-02,-91.69,,,,,
5.62,8.42E-02,-91.53,,,,,
5.63,8.40E-02,-91.36,,,,,
5.64,8.38E-02,-91.2,,,,,
5.65,8.36E-02,-91.04,,,,,
5.66,8.34E-02,-90.87,,,,,
5.67,8.32E-02,-90.71,,,,,
5.68,8.30E-02,-90.55,,,,,
5.69,8.28E-02,-90.39,,,,,
5.7,8.27E-02,-90.23,,,,,
5.71,8.25E-02,-90.07,,,,,
5.72,8.23E-02,-89.91,,,,,
5.73,8.21E-02,-89.75,,,,,
5.74,8.19E-02,-89.6,,,,,
5.75,8.17E-02,-89.44,,,,,
5.76,8.15E-02,-89.28,,,,,
5.77,8.13E-02,-89.13,,,,,
5.78,8.12E-02,-88.97,,,,,
5.79,8.10E-02,-88.82,,,,,
5.8,8.08E-02,-88.66,,,,,
5.81,8.06E-02,-88.51,,,,,
5.82,8.04E-02,-88.35,,,,,
5.83,8.02E-02,-88.2,,,,,
5.84,8.01E-02,-88.05,,,,,
5.85,7.99E-02,-87.9,,,,,
5.86,7.97E-02,-87.75,,,,,
5.87,7.95E-02,-87.6,,,,,
5.88,7.93E-02,-87.45,,,,,
5.89,7.92E-02,-87.3,,,,,
5.9,7.90E-02,-87.15,,,,,
5.91,7.88E-02,-87,,,,,
5.92,7.86E-02,-86.85,,,,,
5.93,7.85E-02,-86.7,,,,,
5.94,7.83E-02,-86.56,,,,,
5.95,7.81E-02,-86.41,,,,,
5.96,7.79E-02,-86.26,,,,,
5.97,7.78E-02,-86.12,,,,,
5.98,7.76E-02,-85.97,,,,,
5.99,7.74E-02,-85.83,,,,,
6,7.72E-02,-85.68,,,,,
6.01,7.71E-02,-85.54,,,,,
6.02,7.69E-02,-85.4,,,,,
6.03,7.67E-02,-85.25,,,,,
6.04,7.65E-02,-85.11,,,,,
6.05,7.64E-02,-84.97,,,,,
6.06,7.62E-02,-84.83,,,,,
6.07,7.60E-02,-84.69,,,,,
6.08,7.59E-02,-84.55,,,,,
6.09,7.57E-02,-84.41,,,,,
6.1,7.55E-02,-84.27,,,,,
6.11,7.54E-02,-84.13,,,,,
6.12,7.52E-02,-83.99,,,,,
6.13,7.50E-02,-83.85,,,,,
6.14,7.49E-02,-83.72,,,,,
6.15,7.47E-02,-83.58,,,,,
6.16,7.45E-02,-83.44,,,,,
6.17,7.44E-02,-83.31,,,,,
6.18,7.42E-02,-83.17,,,,,
6.19,7.40E-02,-83.03,,,,,
6.2,7.39E-02,-82.9,,,,,
6.21,7.37E-02,-82.77,,,,,
6.22,7.35E-02,-82.63,,,,,
6.23,7.34E-02,-82.5,,,,,
6.24,7.32E-02,-82.36,,,,,
6.25,7.31E-02,-82.23,,,,,
6.26,7.29E-02,-82.1,,,,,
6.27,7.27E-02,-81.97,,,,,
6.28,7.26E-02,-81.84,,,,,
6.29,7.24E-02,-81.71,,,,,
6.3,7.23E-02,-81.57,,,,,
6.31,7.21E-02,-81.44,,,,,
6.32,7.19E-02,-81.32,,,,,
6.33,7.18E-02,-81.19,,,,,
6.34,7.16E-02,-81.06,,,,,
6.35,7.15E-02,-80.93,,,,,
6.36,7.13E-02,-80.8,,,,,
6.37,7.12E-02,-80.67,,,,,
6.38,7.10E-02,-80.55,,,,,
6.39,7.08E-02,-80.42,,,,,
6.4,7.07E-02,-80.29,,,,,
6.41,7.05E-02,-80.17,,,,,
6.42,7.04E-02,-80.04,,,,,
6.43,7.02E-02,-79.92,,,,,
6.44,7.01E-02,-79.79,,,,,
6.45,6.99E-02,-79.67,,,,,
6.46,6.98E-02,-79.54,,,,,
6.47,6.96E-02,-79.42,,,,,
6.48,6.95E-02,-79.29,,,,,
6.49,6.93E-02,-79.17,,,,,
6.5,6.92E-02,-79.05,,,,,
6.51,6.90E-02,-78.93,,,,,
6.52,6.89E-02,-78.81,,,,,
6.53,6.87E-02,-78.68,,,,,
6.54,6.86E-02,-78.56,,,,,
6.55,6.84E-02,-78.44,,,,,
6.56,6.83E-02,-78.32,,,,,
6.57,6.81E-02,-78.2,,,,,
6.58,6.80E-02,-78.08,,,,,
6.59,6.78E-02,-77.96,,,,,
6.6,6.77E-02,-77.84,,,,,
6.61,6.75E-02,-77.73,,,,,
6.62,6.74E-02,-77.61,,,,,
6.63,6.72E-02,-77.49,,,,,
6.64,6.71E-02,-77.37,,,,,
6.65,6.70E-02,-77.26,,,,,
6.66,6.68E-02,-77.14,,,,,
6.67,6.67E-02,-77.02,,,,,
6.68,6.65E-02,-76.91,,,,,
6.69,6.64E-02,-76.79,,,,,
6.7,6.62E-02,-76.68,,,,,
6.71,6.61E-02,-76.56,,,,,
6.72,6.60E-02,-76.45,,,,,
6.73,6.58E-02,-76.33,,,,,
6.74,6.57E-02,-76.22,,,,,
6.75,6.55E-02,-76.1,,,,,
6.76,6.54E-02,-75.99,,,,,
6.77,6.53E-02,-75.88,,,,,
6.78,6.51E-02,-75.77,,,,,
6.79,6.50E-02,-75.65,,,,,
6.8,6.48E-02,-75.54,,,,,
6.81,6.47E-02,-75.43,,,,,
6.82,6.46E-02,-75.32,,,,,
6.83,6.44E-02,-75.21,,,,,
6.84,6.43E-02,-75.1,,,,,
6.85,6.41E-02,-74.99,,,,,
6.86,6.40E-02,-74.88,,,,,
6.87,6.39E-02,-74.77,,,,,
6.88,6.37E-02,-74.66,,,,,
6.89,6.36E-02,-74.55,,,,,
6.9,6.35E-02,-74.44,,,,,
6.91,6.33E-02,-74.33,,,,,
6.92,6.32E-02,-74.22,,,,,
6.93,6.31E-02,-74.12,,,,,
6.94,6.29E-02,-74.01,,,,,
6.95,6.28E-02,-73.9,,,,,
6.96,6.27E-02,-73.8,,,,,
6.97,6.25E-02,-73.69,,,,,
6.98,6.24E-02,-73.58,,,,,
6.99,6.23E-02,-73.48,,,,,
7,6.21E-02,-73.37,,,,,
7.01,6.20E-02,-73.27,,,,,
7.02,6.19E-02,-73.16,,,,,
7.03,6.18E-02,-73.06,,,,,
7.04,6.16E-02,-72.95,,,,,
7.05,6.15E-02,-72.85,,,,,
7.06,6.14E-02,-72.75,,,,,
7.07,6.12E-02,-72.64,,,,,
7.08,6.11E-02,-72.54,,,,,
7.09,6.10E-02,-72.44,,,,,
7.1,6.09E-02,-72.33,,,,,
7.11,6.07E-02,-72.23,,,,,
7.12,6.06E-02,-72.13,,,,,
7.13,6.05E-02,-72.03,,,,,
7.14,6.03E-02,-71.93,,,,,
7.15,6.02E-02,-71.83,,,,,
7.16,6.01E-02,-71.72,,,,,
7.17,6.00E-02,-71.62,,,,,
7.18,5.98E-02,-71.52,,,,,
7.19,5.97E-02,-71.42,,,,,
7.2,5.96E-02,-71.32,,,,,
7.21,5.95E-02,-71.22,,,,,
7.22,5.94E-02,-71.13,,,,,
7.23,5.92E-02,-71.03,,,,,
7.24,5.91E-02,-70.93,,,,,
7.25,5.90E-02,-70.83,,,,,
7.26,5.89E-02,-70.73,,,,,
7.27,5.87E-02,-70.63,,,,,
7.28,5.86E-02,-70.54,,,,,
7.29,5.85E-02,-70.44,,,,,
7.3,5.84E-02,-70.34,,,,,
7.31,5.83E-02,-70.25,,,,,
7.32,5.81E-02,-70.15,,,,,
7.33,5.80E-02,-70.05,,,,,
7.34,5.79E-02,-69.96,,,,,
7.35,5.78E-02,-69.86,,,,,
7.36,5.77E-02,-69.77,,,,,
7.37,5.75E-02,-69.67,,,,,
7.38,5.74E-02,-69.58,,,,,
7.39,5.73E-02,-69.48,,,,,
7.4,5.72E-02,-69.39,,,,,
7.41,5.71E-02,-69.29,,,,,
7.42,5.70E-02,-69.2,,,,,
7.43,5.68E-02,-69.11,,,,,
7.44,5.67E-02,-69.01,,,,,
7.45,5.66E-02,-68.92,,,,,
7.46,5.65E-02,-68.83,,,,,
7.47,5.64E-02,-68.73,,,,,
7.48,5.63E-02,-68.64,,,,,
7.49,5.62E-02,-68.55,,,,,
7.5,5.60E-02,-68.46,,,,,
7.51,5.59E-02,-68.37,,,,,
7.52,5.58E-02,-68.28,,,,,
7.53,5.57E-02,-68.18,,,,,
7.54,5.56E-02,-68.09,,,,,
7.55,5.55E-02,-68,,,,,
7.56,5.54E-02,-67.91,,,,,
7.57,5.52E-02,-67.82,,,,,
7.58,5.51E-02,-67.73,,,,,
7.59,5.50E-02,-67.64,,,,,
7.6,5.49E-02,-67.55,,,,,
7.61,5.48E-02,-67.46,,,,,
7.62,5.47E-02,-67.38,,,,,
7.63,5.46E-02,-67.29,,,,,
7.64,5.45E-02,-67.2,,,,,
7.65,5.44E-02,-67.11,,,,,
7.66,5.43E-02,-67.02,,,,,
7.67,5.41E-02,-66.93,,,,,
7.68,5.40E-02,-66.85,,,,,
7.69,5.39E-02,-66.76,,,,,
7.7,5.38E-02,-66.67,,,,,
7.71,5.37E-02,-66.59,,,,,
7.72,5.36E-02,-66.5,,,,,
7.73,5.35E-02,-66.41,,,,,
7.74,5.34E-02,-66.33,,,,,
7.75,5.33E-02,-66.24,,,,,
7.76,5.32E-02,-66.16,,,,,
7.77,5.31E-02,-66.07,,,,,
7.78,5.30E-02,-65.98,,,,,
7.79,5.29E-02,-65.9,,,,,
7.8,5.28E-02,-65.81,,,,,
7.81,5.27E-02,-65.73,,,,,
7.82,5.25E-02,-65.65,,,,,
7.83,5.24E-02,-65.56,,,,,
7.84,5.23E-02,-65.48,,,,,
7.85,5.22E-02,-65.39,,,,,
7.86,5.21E-02,-65.31,,,,,
7.87,5.20E-02,-65.23,,,,,
7.88,5.19E-02,-65.14,,,,,
7.89,5.18E-02,-65.06,,,,,
7.9,5.17E-02,-64.98,,,,,
7.91,5.16E-02,-64.9,,,,,
7.92,5.15E-02,-64.81,,,,,
7.93,5.14E-02,-64.73,,,,,
7.94,5.13E-02,-64.65,,,,,
7.95,5.12E-02,-64.57,,,,,
7.96,5.11E-02,-64.49,,,,,
7.97,5.10E-02,-64.41,,,,,
7.98,5.09E-02,-64.32,,,,,
7.99,5.08E-02,-64.24,,,,,
8,5.07E-02,-64.16,,,,,
8.01,5.06E-02,-64.08,,,,,
8.02,5.05E-02,-64,,,,,
8.03,5.04E-02,-63.92,,,,,
8.04,5.03E-02,-63.84,,,,,
8.05,5.02E-02,-63.76,,,,,
8.06,5.01E-02,-63.68,,,,,
8.07,5.00E-02,-63.6,,,,,
8.08,4.99E-02,-63.53,,,,,
8.09,4.98E-02,-63.45,,,,,
8.1,4.97E-02,-63.37,,,,,
8.11,4.96E-02,-63.29,,,,,
8.12,4.95E-02,-63.21,,,,,
8.13,4.94E-02,-63.13,,,,,
8.14,4.93E-02,-63.06,,,,,
8.15,4.93E-02,-62.98,,,,,
8.16,4.92E-02,-62.9,,,,,
8.17,4.91E-02,-62.82,,,,,
8.18,4.90E-02,-62.75,,,,,
8.19,4.89E-02,-62.67,,,,,
8.2,4.88E-02,-62.59,,,,,
8.21,4.87E-02,-62.52,,,,,
8.22,4.86E-02,-62.44,,,,,
8.23,4.85E-02,-62.36,,,,,
8.24,4.84E-02,-62.29,,,,,
8.25,4.83E-02,-62.21,,,,,
8.26,4.82E-02,-62.14,,,,,
8.27,4.81E-02,-62.06,,,,,
8.28,4.80E-02,-61.99,,,,,
8.29,4.79E-02,-61.91,,,,,
8.3,4.78E-02,-61.84,,,,,
8.31,4.78E-02,-61.76,,,,,
8.32,4.77E-02,-61.69,,,,,
8.33,4.76E-02,-61.61,,,,,
8.34,4.75E-02,-61.54,,,,,
8.35,4.74E-02,-61.46,,,,,
8.36,4.73E-02,-61.39,,,,,
8.37,4.72E-02,-61.32,,,,,
8.38,4.71E-02,-61.24,,,,,
8.39,4.70E-02,-61.17,,,,,
8.4,4.69E-02,-61.1,,,,,
8.41,4.68E-02,-61.02,,,,,
8.42,4.68E-02,-60.95,,,,,
8.43,4.67E-02,-60.88,,,,,
8.44,4.66E-02,-60.81,,,,,
8.45,4.65E-02,-60.73,,,,,
8.46,4.64E-02,-60.66,,,,,
8.47,4.63E-02,-60.59,,,,,
8.48,4.62E-02,-60.52,,,,,
8.49,4.61E-02,-60.45,,,,,
8.5,4.61E-02,-60.38,,,,,
8.51,4.60E-02,-60.3,,,,,
8.52,4.59E-02,-60.23,,,,,
8.53,4.58E-02,-60.16,,,,,
8.54,4.57E-02,-60.09,,,,,
8.55,4.56E-02,-60.02,,,,,
8.56,4.55E-02,-59.95,,,,,
8.57,4.54E-02,-59.88,,,,,
8.58,4.54E-02,-59.81,,,,,
8.59,4.53E-02,-59.74,,,,,
8.6,4.52E-02,-59.67,,,,,
8.61,4.51E-02,-59.6,,,,,
8.62,4.50E-02,-59.53,,,,,
8.63,4.49E-02,-59.46,,,,,
8.64,4.49E-02,-59.39,,,,,
8.65,4.48E-02,-59.33,,,,,
8.66,4.47E-02,-59.26,,,,,
8.67,4.46E-02,-59.19,,,,,
8.68,4.45E-02,-59.12,,,,,
8.69,4.44E-02,-59.05,,,,,
8.7,4.44E-02,-58.98,,,,,
8.71,4.43E-02,-58.92,,,,,
8.72,4.42E-02,-58.85,,,,,
8.73,4.41E-02,-58.78,,,,,
8.74,4.40E-02,-58.71,,,,,
8.75,4.39E-02,-58.65,,,,,
8.76,4.39E-02,-58.58,,,,,
8.77,4.38E-02,-58.51,,,,,
8.78,4.37E-02,-58.44,,,,,
8.79,4.36E-02,-58.38,,,,,
8.8,4.35E-02,-58.31,,,,,
8.81,4.35E-02,-58.24,,,,,
8.82,4.34E-02,-58.18,,,,,
8.83,4.33E-02,-58.11,,,,,
8.84,4.32E-02,-58.05,,,,,
8.85,4.31E-02,-57.98,,,,,
8.86,4.31E-02,-57.92,,,,,
8.87,4.30E-02,-57.85,,,,,
8.88,4.29E-02,-57.78,,,,,
8.89,4.28E-02,-57.72,,,,,
8.9,4.27E-02,-57.65,,,,,
8.91,4.27E-02,-57.59,,,,,
8.92,4.26E-02,-57.52,,,,,
8.93,4.25E-02,-57.46,,,,,
8.94,4.24E-02,-57.4,,,,,
8.95,4.24E-02,-57.33,,,,,
8.96,4.23E-02,-57.27,,,,,
8.97,4.22E-02,-57.2,,,,,
8.98,4.21E-02,-57.14,,,,,
8.99,4.20E-02,-57.08,,,,,
9,4.20E-02,-57.01,,,,,
9.01,4.19E-02,-56.95,,,,,
9.02,4.18E-02,-56.89,,,,,
9.03,4.17E-02,-56.82,,,,,
9.04,4.17E-02,-56.76,,,,,
9.05,4.16E-02,-56.7,,,,,
9.06,4.15E-02,-56.63,,,,,
9.07,4.14E-02,-56.57,,,,,
9.08,4.14E-02,-56.51,,,,,
9.09,4.13E-02,-56.45,,,,,
9.1,4.12E-02,-56.38,,,,,
9.11,4.11E-02,-56.32,,,,,
9.12,4.11E-02,-56.26,,,,,
9.13,4.10E-02,-56.2,,,,,
9.14,4.09E-02,-56.14,,,,,
9.15,4.08E-02,-56.07,,,,,
9.16,4.08E-02,-56.01,,,,,
9.17,4.07E-02,-55.95,,,,,
9.18,4.06E-02,-55.89,,,,,
9.19,4.05E-02,-55.83,,,,,
9.2,4.05E-02,-55.77,,,,,
9.21,4.04E-02,-55.71,,,,,
9.22,4.03E-02,-55.65,,,,,
9.23,4.03E-02,-55.59,,,,,
9.24,4.02E-02,-55.53,,,,,
9.25,4.01E-02,-55.47,,,,,
9.26,4.00E-02,-55.41,,,,,
9.27,4.00E-02,-55.35,,,,,
9.28,3.99E-02,-55.29,,,,,
9.29,3.98E-02,-55.23,,,,,
9.3,3.98E-02,-55.17,,,,,
9.31,3.97E-02,-55.11,,,,,
9.32,3.96E-02,-55.05,,,,,
9.33,3.95E-02,-54.99,,,,,
9.34,3.95E-02,-54.93,,,,,
9.35,3.94E-02,-54.87,,,,,
9.36,3.93E-02,-54.81,,,,,
9.37,3.93E-02,-54.75,,,,,
9.38,3.92E-02,-54.7,,,,,
9.39,3.91E-02,-54.64,,,,,
9.4,3.90E-02,-54.58,,,,,
9.41,3.90E-02,-54.52,,,,,
9.42,3.89E-02,-54.46,,,,,
9.43,3.88E-02,-54.41,,,,,
9.44,3.88E-02,-54.35,,,,,
9.45,3.87E-02,-54.29,,,,,
9.46,3.86E-02,-54.23,,,,,
9.47,3.86E-02,-54.17,,,,,
9.48,3.85E-02,-54.12,,,,,
9.49,3.84E-02,-54.06,,,,,
9.5,3.84E-02,-54,,,,,
9.51,3.83E-02,-53.95,,,,,
9.52,3.82E-02,-53.89,,,,,
9.53,3.82E-02,-53.83,,,,,
9.54,3.81E-02,-53.78,,,,,
9.55,3.80E-02,-53.72,,,,,
9.56,3.80E-02,-53.66,,,,,
9.57,3.79E-02,-53.61,,,,,
9.58,3.78E-02,-53.55,,,,,
9.59,3.78E-02,-53.5,,,,,
9.6,3.77E-02,-53.44,,,,,
9.61,3.76E-02,-53.38,,,,,
9.62,3.76E-02,-53.33,,,,,
9.63,3.75E-02,-53.27,,,,,
9.64,3.74E-02,-53.22,,,,,
9.65,3.74E-02,-53.16,,,,,
9.66,3.73E-02,-53.11,,,,,
9.67,3.72E-02,-53.05,,,,,
9.68,3.72E-02,-53,,,,,
9.69,3.71E-02,-52.94,,,,,
9.7,3.70E-02,-52.89,,,,,
9.71,3.70E-02,-52.83,,,,,
9.72,3.69E-02,-52.78,,,,,
9.73,3.69E-02,-52.72,,,,,
9.74,3.68E-02,-52.67,,,,,
9.75,3.67E-02,-52.62,,,,,
9.76,3.67E-02,-52.56,,,,,
9.77,3.66E-02,-52.51,,,,,
9.78,3.65E-02,-52.45,,,,,
9.79,3.65E-02,-52.4,,,,,
9.8,3.64E-02,-52.35,,,,,
9.81,3.63E-02,-52.29,,,,,
9.82,3.63E-02,-52.24,,,,,
9.83,3.62E-02,-52.19,,,,,
9.84,3.62E-02,-52.13,,,,,
9.85,3.61E-02,-52.08,,,,,
9.86,3.60E-02,-52.03,,,,,
9.87,3.60E-02,-51.97,,,,,
9.88,3.59E-02,-51.92,,,,,
9.89,3.59E-02,-51.87,,,,,
9.9,3.58E-02,-51.82,,,,,
9.91,3.57E-02,-51.76,,,,,
9.92,3.57E-02,-51.71,,,,,
9.93,3.56E-02,-51.66,,,,,
9.94,3.55E-02,-51.61,,,,,
9.95,3.55E-02,-51.56,,,,,
9.96,3.54E-02,-51.5,,,,,
9.97,3.54E-02,-51.45,,,,,
9.98,3.53E-02,-51.4,,,,,
9.99,3.52E-02,-51.35,,,,,
10,3.52E-02,-51.3,,,,,
10.01,3.51E-02,-51.25,,,,,
10.02,3.51E-02,-51.19,,,,,
10.03,3.50E-02,-51.14,,,,,
10.04,3.49E-02,-51.09,,,,,
10.05,3.49E-02,-51.04,,,,,
10.06,3.48E-02,-50.99,,,,,
10.07,3.48E-02,-50.94,,,,,
10.08,3.47E-02,-50.89,,,,,
10.09,3.46E-02,-50.84,,,,,
10.1,3.46E-02,-50.79,,,,,
10.11,3.45E-02,-50.74,,,,,
10.12,3.45E-02,-50.69,,,,,
10.13,3.44E-02,-50.64,,,,,
10.14,3.44E-02,-50.59,,,,,
10.15,3.43E-02,-50.54,,,,,
10.16,3.42E-02,-50.49,,,,,
10.17,3.42E-02,-50.44,,,,,
10.18,3.41E-02,-50.39,,,,,
10.19,3.41E-02,-50.34,,,,,
10.2,3.40E-02,-50.29,,,,,
10.21,3.40E-02,-50.24,,,,,
10.22,3.39E-02,-50.19,,,,,
10.23,3.38E-02,-50.14,,,,,
10.24,3.38E-02,-50.09,,,,,
10.25,3.37E-02,-50.04,,,,,
10.26,3.37E-02,-49.99,,,,,
10.27,3.36E-02,-49.95,,,,,
10.28,3.36E-02,-49.9,,,,,
10.29,3.35E-02,-49.85,,,,,
10.3,3.35E-02,-49.8,,,,,
10.31,3.34E-02,-49.75,,,,,
10.32,3.33E-02,-49.7,,,,,
10.33,3.33E-02,-49.65,,,,,
10.34,3.32E-02,-49.61,,,,,
10.35,3.32E-02,-49.56,,,,,
10.36,3.31E-02,-49.51,,,,,
10.37,3.31E-02,-49.46,,,,,
10.38,3.30E-02,-49.42,,,,,
10.39,3.30E-02,-49.37,,,,,
10.4,3.29E-02,-49.32,,,,,
10.41,3.28E-02,-49.27,,,,,
10.42,3.28E-02,-49.22,,,,,
10.43,3.27E-02,-49.18,,,,,
10.44,3.27E-02,-49.13,,,,,
10.45,3.26E-02,-49.08,,,,,
10.46,3.26E-02,-49.04,,,,,
10.47,3.25E-02,-48.99,,,,,
10.48,3.25E-02,-48.94,,,,,
10.49,3.24E-02,-48.9,,,,,
10.5,3.24E-02,-48.85,,,,,
10.51,3.23E-02,-48.8,,,,,
10.52,3.23E-02,-48.76,,,,,
10.53,3.22E-02,-48.71,,,,,
10.54,3.21E-02,-48.66,,,,,
10.55,3.21E-02,-48.62,,,,,
10.56,3.20E-02,-48.57,,,,,
10.57,3.20E-02,-48.53,,,,,
10.58,3.19E-02,-48.48,,,,,
10.59,3.19E-02,-48.43,,,,,
10.6,3.18E-02,-48.39,,,,,
10.61,3.18E-02,-48.34,,,,,
10.62,3.17E-02,-48.3,,,,,
10.63,3.17E-02,-48.25,,,,,
10.64,3.16E-02,-48.21,,,,,
10.65,3.16E-02,-48.16,,,,,
10.66,3.15E-02,-48.11,,,,,
10.67,3.15E-02,-48.07,,,,,
10.68,3.14E-02,-48.02,,,,,
10.69,3.14E-02,-47.98,,,,,
10.7,3.13E-02,-47.93,,,,,
10.71,3.13E-02,-47.89,,,,,
10.72,3.12E-02,-47.84,,,,,
10.73,3.12E-02,-47.8,,,,,
10.74,3.11E-02,-47.76,,,,,
10.75,3.11E-02,-47.71,,,,,
10.76,3.10E-02,-47.67,,,,,
10.77,3.10E-02,-47.62,,,,,
10.78,3.09E-02,-47.58,,,,,
10.79,3.09E-02,-47.53,,,,,
10.8,3.08E-02,-47.49,,,,,
10.81,3.08E-02,-47.45,,,,,
10.82,3.07E-02,-47.4,,,,,
10.83,3.07E-02,-47.36,,,,,
10.84,3.06E-02,-47.31,,,,,
10.85,3.06E-02,-47.27,,,,,
10.86,3.05E-02,-47.23,,,,,
10.87,3.05E-02,-47.18,,,,,
10.88,3.04E-02,-47.14,,,,,
10.89,3.04E-02,-47.1,,,,,
10.9,3.03E-02,-47.05,,,,,
10.91,3.03E-02,-47.01,,,,,
10.92,3.02E-02,-46.97,,,,,
10.93,3.02E-02,-46.92,,,,,
10.94,3.01E-02,-46.88,,,,,
10.95,3.01E-02,-46.84,,,,,
10.96,3.00E-02,-46.8,,,,,
10.97,3.00E-02,-46.75,,,,,
10.98,2.99E-02,-46.71,,,,,
10.99,2.99E-02,-46.67,,,,,
11,2.99E-02,-46.62,,,,,
11.01,2.98E-02,-46.58,,,,,
11.02,2.98E-02,-46.54,,,,,
11.03,2.97E-02,-46.5,,,,,
11.04,2.97E-02,-46.46,,,,,
11.05,2.96E-02,-46.41,,,,,
11.06,2.96E-02,-46.37,,,,,
11.07,2.95E-02,-46.33,,,,,
11.08,2.95E-02,-46.29,,,,,
11.09,2.94E-02,-46.25,,,,,
11.1,2.94E-02,-46.2,,,,,
11.11,2.93E-02,-46.16,,,,,
11.12,2.93E-02,-46.12,,,,,
11.13,2.92E-02,-46.08,,,,,
11.14,2.92E-02,-46.04,,,,,
11.15,2.92E-02,-46,,,,,
11.16,2.91E-02,-45.95,,,,,
11.17,2.91E-02,-45.91,,,,,
11.18,2.90E-02,-45.87,,,,,
11.19,2.90E-02,-45.83,,,,,
11.2,2.89E-02,-45.79,,,,,
11.21,2.89E-02,-45.75,,,,,
11.22,2.88E-02,-45.71,,,,,
11.23,2.88E-02,-45.67,,,,,
11.24,2.87E-02,-45.63,,,,,
11.25,2.87E-02,-45.59,,,,,
11.26,2.87E-02,-45.55,,,,,
11.27,2.86E-02,-45.51,,,,,
11.28,2.86E-02,-45.47,,,,,
11.29,2.85E-02,-45.42,,,,,
11.3,2.85E-02,-45.38,,,,,
11.31,2.84E-02,-45.34,,,,,
11.32,2.84E-02,-45.3,,,,,
11.33,2.83E-02,-45.26,,,,,
11.34,2.83E-02,-45.22,,,,,
11.35,2.83E-02,-45.18,,,,,
11.36,2.82E-02,-45.14,,,,,
11.37,2.82E-02,-45.1,,,,,
11.38,2.81E-02,-45.07,,,,,
11.39,2.81E-02,-45.03,,,,,
11.4,2.80E-02,-44.99,,,,,
11.41,2.80E-02,-44.95,,,,,
11.42,2.80E-02,-44.91,,,,,
11.43,2.79E-02,-44.87,,,,,
11.44,2.79E-02,-44.83,,,,,
11.45,2.78E-02,-44.79,,,,,
11.46,2.78E-02,-44.75,,,,,
11.47,2.77E-02,-44.71,,,,,
11.48,2.77E-02,-44.67,,,,,
11.49,2.77E-02,-44.63,,,,,
11.5,2.76E-02,-44.59,,,,,
11.51,2.76E-02,-44.56,,,,,
11.52,2.75E-02,-44.52,,,,,
11.53,2.75E-02,-44.48,,,,,
11.54,2.74E-02,-44.44,,,,,
